id,disposition,mission
TIC 17335456,FALSE POSITIVE,K2
TIC 17335456,FALSE POSITIVE,K2
TIC 17335456,FALSE POSITIVE,K2
TIC 17150865,FALSE POSITIVE,K2
TIC 17150865,FALSE POSITIVE,K2
TIC 17150865,FALSE POSITIVE,K2
TIC 17150865,FALSE POSITIVE,K2
TIC 15932677,CANDIDATE,K2
TIC 15932677,CANDIDATE,K2
TIC 113921235,CANDIDATE,K2
TIC 113921235,CANDIDATE,K2
TIC 14228017,CANDIDATE,K2
TIC 14228017,CANDIDATE,K2
TIC 114062321,FALSE POSITIVE,K2
TIC 26054964,CANDIDATE,K2
TIC 440687872,CANDIDATE,K2
TIC 440687872,CANDIDATE,K2
TIC 15821111,FALSE POSITIVE,K2
TIC 440699530,CANDIDATE,K2
TIC 14080244,CANDIDATE,K2
TIC 14080244,CANDIDATE,K2
TIC 61141802,CANDIDATE,K2
TIC 14230289,CANDIDATE,K2
TIC 14230289,CANDIDATE,K2
TIC 440687177,CANDIDATE,K2
TIC 61145203,CANDIDATE,K2
TIC 440727989,CANDIDATE,K2
TIC 61116662,CANDIDATE,K2
TIC 14333263,FALSE POSITIVE,K2
TIC 440695298,CANDIDATE,K2
TIC 15935339,CANDIDATE,K2
TIC 14226699,CANDIDATE,K2
TIC 14226699,CANDIDATE,K2
TIC 26078330,CANDIDATE,K2
TIC 26078330,CANDIDATE,K2
TIC 26078330,CANDIDATE,K2
TIC 26078330,CANDIDATE,K2
TIC 26078330,CANDIDATE,K2
TIC 61113635,CANDIDATE,K2
TIC 14334541,CANDIDATE,K2
TIC 14110700,CANDIDATE,K2
TIC 56621708,CANDIDATE,K2
TIC 125754991,FALSE POSITIVE,K2
TIC 149923858,CANDIDATE,K2
TIC 149923858,CANDIDATE,K2
TIC 35159657,FALSE POSITIVE,K2
TIC 149907584,CANDIDATE,K2
TIC 302545802,CANDIDATE,K2
TIC 23076555,CANDIDATE,K2
TIC 427740976,CANDIDATE,K2
TIC 427740976,CANDIDATE,K2
TIC 427740976,CANDIDATE,K2
TIC 427740976,CANDIDATE,K2
TIC 427740976,CANDIDATE,K2
TIC 84336349,CANDIDATE,K2
TIC 348723705,CANDIDATE,K2
TIC 125757123,CANDIDATE,K2
TIC 459056070,CANDIDATE,K2
TIC 459056070,CANDIDATE,K2
TIC 444013500,CANDIDATE,K2
TIC 458686969,CANDIDATE,K2
TIC 458686969,CANDIDATE,K2
TIC 458686969,CANDIDATE,K2
TIC 366409685,CANDIDATE,K2
TIC 366409685,CANDIDATE,K2
TIC 366499151,CANDIDATE,K2
TIC 366499151,CANDIDATE,K2
TIC 468984101,CANDIDATE,K2
TIC 366500350,CANDIDATE,K2
TIC 366657411,CANDIDATE,K2
TIC 366484561,CANDIDATE,K2
TIC 366443576,CANDIDATE,K2
TIC 366443576,CANDIDATE,K2
TIC 444034296,CANDIDATE,K2
TIC 437031055,CANDIDATE,K2
TIC 366622585,CANDIDATE,K2
TIC 366622585,CANDIDATE,K2
TIC 366622585,CANDIDATE,K2
TIC 366622585,CANDIDATE,K2
TIC 444010408,CANDIDATE,K2
TIC 444010408,CANDIDATE,K2
TIC 444010408,CANDIDATE,K2
TIC 366528275,CANDIDATE,K2
TIC 443996667,CANDIDATE,K2
TIC 396847085,CANDIDATE,K2
TIC 396847085,CANDIDATE,K2
TIC 443970567,CANDIDATE,K2
TIC 443970567,CANDIDATE,K2
TIC 443970567,CANDIDATE,K2
TIC 437026476,CANDIDATE,K2
TIC 458686504,CANDIDATE,K2
TIC 458686504,CANDIDATE,K2
TIC 458686504,CANDIDATE,K2
TIC 323658556,CANDIDATE,K2
TIC 323495801,FALSE POSITIVE,K2
TIC 323492710,CANDIDATE,K2
TIC 323687228,FALSE POSITIVE,K2
TIC 437026363,CANDIDATE,K2
TIC 437026363,CANDIDATE,K2
TIC 437039073,FALSE POSITIVE,K2
TIC 458655713,CANDIDATE,K2
TIC 443970332,FALSE POSITIVE,K2
TIC 323599971,FALSE POSITIVE,K2
TIC 468988377,CANDIDATE,K2
TIC 21245173,CANDIDATE,K2
TIC 21245173,CANDIDATE,K2
TIC 458655766,CANDIDATE,K2
TIC 337645868,FALSE POSITIVE,K2
TIC 21184505,CANDIDATE,K2
TIC 21184505,CANDIDATE,K2
TIC 323710512,FALSE POSITIVE,K2
TIC 21221785,CANDIDATE,K2
TIC 21221785,CANDIDATE,K2
TIC 21221785,CANDIDATE,K2
TIC 21221785,CANDIDATE,K2
TIC 21221785,CANDIDATE,K2
TIC 21221785,CANDIDATE,K2
TIC 21221785,CANDIDATE,K2
TIC 21221785,CANDIDATE,K2
TIC 21221785,CANDIDATE,K2
